OBJET,CORRESPONDANCE,DESCRIPTION
v9449163,menuToggleButtonHorizontal,Bouton d'ouverture/fermeture du menu en mode horizontal
v9342063,refreshBottomMessages,Fonction rafraîchissant les messages du bas (stockage + affichage)
v9355363,sanitizeInputString,Fonction nettoyant une chaîne de saisie (guillemets, caractères spéciaux)
v9462663,inputString,Chaîne d'entrée à nettoyer
v9475663,sanitizedString,Chaîne nettoyée
v9328763,refreshReminders,Fonction rafraîchissant la liste des rappels
v9367163,saveRemindersToStorage,Fonction enregistrant les rappels dans le localStorage
v9355463,displayRemindersTable,Fonction affichant le tableau des rappels
v9489863,reminderItem,Élément de rappel individuel
v9502163,tableRow,Ligne de tableau
v9508663,actionCell,Cellule d'action (éditer)
v9508763,contentCell,Cellule de contenu
v9508863,deleteCell,Cellule de suppression
v9462763,reminderContentClass,Classe CSS pour le contenu des rappels
v9367263,deleteReminder,Fonction supprimant un rappel
v9393063,editReminder,Fonction éditANT un rappel
v9334363,clearRemindersTable,Fonction vidant le tableau des rappels
v9347963,clearSlidesTable,Fonction vidant le tableau des slides
v9334263,refreshSlides,Fonction rafraîchissant les slides
v9405263,saveSlidesToStorage,Fonction enregistrant les slides dans le localStorage
v9393163,displaySlidesTable,Fonction affichant le tableau des slides
v9405363,deleteSlide,Fonction supprimant un slide
v9434163,editSlide,Fonction éditANT un slide
v9355263,displayBottomMessagesTable,Fonction affichant le tableau des messages du bas
v9355563,clearMessagesTable,Fonction vidant le tableau des messages
v9490063,messageParts,Parties d'un message (statut, jour, texte)
v9378063,toggleMessageStatus,Fonction activant/désactivant un message
v9511263,newStatus,Nouveau statut du message (0/1)
v9419363,moveMessageUp,Fonction déplaçant un message vers le haut
v9419463,deleteMessage,Fonction supprimant un message
v9449263,editMessageText,Fonction éditANT le texte d'un message
v9378163,editMessageDay,Fonction éditANT le jour de diffusion d'un message
v9462863,daySelectionPrompt,Message guide pour la sélection du jour
v9355663,serializedMessages,Chaîne sérialisée des messages pour localStorage
v9419563,marqueeText,Texte à faire défiler (messages actifs)
v9367363,animationFrameId,Identifiant de l'animation requestAnimationFrame
v9367463,lastTimestamp,Dernier timestamp pour l'animation
v9405463,currentTranslateX,Valeur actuelle de translation horizontale (marquee)
v9342163,marqueeDirection,Direction du défilement ("left" ou "right")
v9475963,marqueeElement,Élément DOM du marquee (texte défilant)
v9342263,marqueeWidth,Largeur du texte défilant
v9328863,containerWidth,Largeur du conteneur parent
v9334463,setMarqueeDirection,Fonction définissant la direction du marquee
v9502363,directionParam,Paramètre de direction ('left' ou 'right')
v9405563,initMarqueePosition,Fonction initialisant la position du marquee
v9419663,parentContainer,Conteneur parent du marquee
v9405663,animateMarquee,Fonction d'animation du défilement
v9419763,timestamp,Temps actuel pour l'animation
v9509463,deltaTime,Différence de temps depuis la dernière frame
v9419863,directionMultiplier,Multiplicateur de direction (1 ou -1)
v9393263,startMarqueeAnimation,Fonction démarrant l'animation du marquee
v9405763,stopMarqueeAnimation,Fonction arrêtant l'animation du marquee
v9462963,marqueeTextHorizontalElement,Élément du texte défilant en mode horizontal
v9463063,marqueeTextVerticalElement,Élément du texte défilant en mode vertical
v9367563,detectedDirection,Direction détectée (RTL ou LTR)
v9337163,ramadanDaysLeftMessage,Message du nombre de jours restants avant Ramadan
v9449363,isRTLText,Fonction détectant si le texte est en arabe (RTL)
v9463663,arabicRegex,Expression régulière pour les caractères arabes
v9367663,isMuharam,Booléen indiquant si le mois est Muharram (mois 7)
v9348063,isShaban,Booléen indiquant si le mois est Chaabane (mois 8)
v9511363,hijriDaySpan,Élément span pour le jour hégirien
v9511463,hijriYearSpan,Élément span pour l'année hégirienne
v9476063,hijriDateClass,Classe CSS pour la date hégirienne
v9434263,prayerKey,Clé de prière (FAJR, DOHR, etc.) pour les ajustements
v9355763,iqamaFajrValueElement,Élément affichant la valeur de l'Iqama pour Fajr
v9355863,iqamaDohaValueElement,Élément affichant la valeur de l'Iqama pour Doha
v9355963,iqamaDohrValueElement,Élément affichant la valeur de l'Iqama pour Dohr
v9367763,iqamaAsrValueElement,Élément affichant la valeur de l'Iqama pour Asr
v9337363,iqamaMgrbValueElement,Élément affichant la valeur de l'Iqama pour Maghrib
v9356063,iqamaIshaValueElement,Élément affichant la valeur de l'Iqama pour Isha
v9502463,popupMessage,Message à afficher dans une popup
v9502563,popupDurationMinutes,Durée d'affichage de la popup en minutes
v9476163,popupDurationMs,Durée d'affichage en millisecondes
v9337463,isHadithVisible,Booléen indiquant si le hadith est visible (vs marquee)
v9366063,updateDateDisplay,Fonction mettant à jour l'affichage de la date
v9508463,weekDaySpan,Élément span pour le jour de la semaine
v9336863,updateEidMessageVisibility,Fonction mettant à jour l'affichage du message de l'Aïd
v9419963,hijriMonthsArray,Tableau des noms des mois hégiriens
v9327163,checkAndRestoreIqamaCounter,Fonction vérifiant et restaurant le compteur d'Iqama en cas de reprise
v9342563,remainingIqamaMinutes,Minutes restantes avant l'Iqama
v9356563,initializeThemeScheduler,Fonction initialisant le changement de thème programmé
v9356663,exportStatusDiv,Élément affichant le statut de l'exportation
v9393863,exportDataLines,Lignes de données à exporter
v9503363,settingValue,Valeur d'un paramètre
v9328963,parseImportLine,Fonction analysant une ligne de fichier d'importation
v9491063,rawLine,Ligne brute du fichier d'import
v9435363,parsedLineParts,Parties de la ligne parsée (clé, valeur)
v9329063,importByIdStatusDiv,Élément affichant le statut de l'import par ID
v9450363,importId,ID d'importation saisi par l'utilisateur
v9477363,importResponse,Réponse HTTP de l'import
v9393963,importFileContent,Contenu du fichier d'importation
v9326863,processImportData,Fonction traitant les données importées
v9503463,importData,Données brutes importées
v9420763,statusDiv,Élément d'affichage du statut
v9379263,hasSettingsSection,Booléen indiquant la présence de la section SETTINGS
v9342663,hasMessagesSection,Booléen indiquant la présence de la section MESSAGES
v9406363,hasSlidesSection,Booléen indiquant la présence de la section SLIDES
v9420863,hasTimesSection,Booléen indiquant la présence de la section TIMES
v9435463,importLines,Lignes du fichier d'import
v9464163,importKey,Clé d'importation
v9464263,importValue,Valeur d'importation
v9464363,importKeyValue,Paire clé/valeur parsée
v9477563,trimmedLine,Ligne trimée
v9325763,importLocalStatusDiv,Élément affichant le statut de l'import local
v9477663,selectedFile,Fichier sélectionné pour l'import
v9450463,fileReader,FileReader pour lire le fichier local
v9477763,fileContent,Contenu du fichier local
v9450563,keyCode,Code de la touche pressée
v9491163,arrowKeysArray,Tableau des codes des touches fléchées (37,38,39,40,13)
v9379363,isPointerModeActive,Booléen indiquant si le mode pointeur (télécommande) est actif
v9464463,pointerLeft,Position gauche du pointeur
v9464563,pointerTop,Position haute du pointeur
v9348863,showPointer,Fonction affichant le pointeur
v9394163,pointerTimeout,Timeout pour masquer le pointeur
v9503563,clickX,Coordonnée X du clic
v9503663,clickY,Coordonnée Y du clic
v9491263,elementAtPoint,Élément à la position du clic
v9420963,simulateClick,Fonction simulant un clic à la position du pointeur
v9503763,simulatedX,Coordonnée X simulée
v9503863,simulatedY,Coordonnée Y simulée
v9491363,targetElement,Élément cible du clic
v9503963,clickTimestamp,Timestamp du clic
v9421063,checkAutoStartStatus,Fonction vérifiant le statut du démarrage automatique (Android)
v9421163,isAutoStartEnabled,Booléen indiquant si l'auto-démarrage est activé
v9450663,isAutoStartDisabled,Booléen indiquant si l'auto-démarrage est désactivé
v9341663,isRTL,Booléen indiquant si la langue courante est RTL
v9476263,hrIqamaTopVariant,Position haute variable pour l'Iqama en mode HR
v9476363,hrIqamaBottomVariant,Position basse variable pour l'Iqama en mode HR
v9508263,daySpan,Élément span pour le jour grégorien
v9511063,gregorianDateSpan,Élément span pour la date grégorienne complète
v9463463,dohaTimeClass,Classe CSS pour l'heure de Doha
v9490463,amPmArabicClass,Classe CSS pour l'affichage AM/PM en arabe
v9508363,gregorianMonthSpanId,Span for Gregorian month number (digit styling)
v9490163,messageSeparatorClass,Class for message separator padding (0 33px)
v9508163,dateSeparatorId,ID for date separator slash (salat color)
v9511863,textLeftClass,Utility class for left text alignment
v9475863,settingsCheckboxClass,Class for checkbox in settings tables (custom size)
v9478263,unusedImageId,Unused ID for an image element (likely leftover)
v9464663,debugStatusDivId,Hidden debug status div (absolute positioning, hidden)
v9504263,verticalExtraInfoId,ID for extra info text in vertical mode (font size 80%, lower color)
v9349063,bottomInfoBarId,Bottom info bar for vertical mode (absolute positioned text)
v9491763,prayerRowWrapperClass,Wrapper class for prayer rows in vertical mode (relative, fixed height)
v9490263,middleNamesVrClass,Class for vertical mode with prayer names in middle (alters header and time positions)
v9432363,nextPrayerLabelText,Variable temporaire pour le texte du label "Prochaine prière" (utilisée pour l'affichage en arabe ou autres langues)
v9500463,timeParts,Tableau contenant les parties heures et minutes d'une chaîne de temps (split par ':')
v9447463,unusedVariable,Variable non utilisée (déclarée mais jamais employée)
v9432763,time12hFormatted,Chaîne de temps formatée en 12 heures (avec ou sans zéro initial)
v9377563,summerMonthsArray,Tableau des mois d'été (mars à septembre) pour l'ajustement de l'heure d'été
v9487463,dayOfWeek,Variable temporaire stockant le jour de la semaine (0-6)
v9487563,azanTimeFormattedFajr,Heure de l'Adhan pour Fajr formatée selon les préférences utilisateur
v9487663,azanTimeFormattedShuruq,Heure de l'Adhan pour Shuruq formatée selon les préférences utilisateur
v9487763,azanTimeFormattedDohr,Heure de l'Adhan pour Dohr formatée selon les préférences utilisateur
v9487863,azanTimeFormattedAsr,Heure de l'Adhan pour Asr formatée selon les préférences utilisateur
v9487963,azanTimeFormattedMaghrib,Heure de l'Adhan pour Maghrib formatée selon les préférences utilisateur
v9488063,azanTimeFormattedIsha,Heure de l'Adhan pour Isha formatée selon les préférences utilisateur
v9488163,dirAttribute,Chaîne d'attribut de direction ('dir="ltr"' ou 'dir="rtl"') pour l'affichage des dates
v9488263,dateSeparatorHtml,Séparateur de date sous forme d'élément HTML (<span id='dateSeparatorId'>/)
v9447863,AnneeCourante,Année courante extraite de l'objet Date
v9447963,gregorianDateString,Chaîne contenant la date grégorienne formatée (jour/mois/année)
v9488763,scrollableElement,Référence à l'élément DOM défilable dans le menu
v9462363,ArabsourceString,Chaîne source pour le comptage des caractères arabes
v9462463,currentChar,Caractère courant lors du comptage des caractères arabes
v9489463,charCode,Code Unicode du caractère courant
v9462563,charCount,Compteur de caractères arabes (excluant diacritiques et tatweel)
v9489563,selectedHadith,Contenu du hadith aléatoire sélectionné
v9433463,hadithLength,Longueur du hadith en caractères (pour validation)
v9328663,applyThemeChange,Fonction qui applique le changement de thème selon le type sélectionné (par salat, jour, aléatoire)
v9367063,saveBottomMessages,Fonction qui sauvegarde les messages du bas de l'écran dans le localStorage
v9405163,updateMarqueeText,Fonction qui met à jour le texte défilant (marquee) à partir des messages actifs
v9475763,tempMessageItem,Variable temporaire contenant un message (rappel, slide, message) lors du parcours des tableaux
v9489963,tempReminderItem,Variable temporaire contenant un rappel ou un slide en cours d'édition
v9508963,tableCellAction,Cellule de tableau contenant les actions (Éditer/Dupliquer)
v9509063,tableCellMove,Cellule de tableau contenant le contrôle de déplacement vers le haut
v9509163,tableCellDay,Cellule de tableau affichant le jour ou la date de programmation du message
v9509263,tableCellMessage,Cellule de tableau affichant le texte du message
v9509363,tableCellDelete,Cellule de tableau contenant le bouton de suppression (X)
v9331863,updateUseImportedTimesCheckbox,Fonction qui met à jour l'état de la case à cocher "Utiliser les horaires importés"
v9379063,applyForcedVerticalClass,Fonction qui applique la classe CSS pour le mode vertical forcé (vrRIGHT/vrLEFT) et ajuste l'unité de taille
v9434963,locationProtocol,Protocole de la fenêtre courante (http:, https:, file:, resource:)
v9356363,initUILabels,Fonction d'initialisation des libellés de l'interface utilisateur (traductions)
v9502763,forcedVerticalOptionHtml,Chaîne HTML contenant les options de mode vertical forcé (OFF, rotation gauche/droite)
v9435163,isBetween,Fonction qui teste si une valeur est comprise entre deux bornes (inclusif)
v9511563,valueToTest,Valeur à tester dans la fonction isBetween
v9511663,lowerBound,Borne inférieure pour le test isBetween
v9511763,upperBound,Borne supérieure pour le test isBetween
v9449863,gpsPositionString,Chaîne contenant la latitude et longitude séparées par une virgule
v9490563,gpsCoordinatesArray,Tableau contenant latitude et longitude après découpage
v9356463,displayGpsPosition,Fonction qui affiche la position GPS dans l'interface
v9368163,getFutureDateString,Fonction qui retourne une chaîne de date (YYYY-MM-DD) après ajout d'un nombre de jours
v9449963,daysOffset,Nombre de jours à ajouter à la date courante
v9502863,tempDate,Objet Date temporaire pour les calculs de date future
v9502963,formattedDay,Jour du mois formaté avec deux chiffres
v9393763,getCurrentTimestampForWeather,Fonction qui retourne un timestamp (YYYY-MM-DDTHH:00) pour l'API météo
v9503063,weatherDate,Objet Date utilisé pour la requête météo
v9463763,timestampString,Chaîne de timestamp pour l'API météo
v9406063,onGpsSuccess,Fonction de rappel en cas de succès de la géolocalisation
v9420563,highlightCurrentLanguage,Fonction qui met en surbrillance la langue courante dans le menu
v9476663,currentDateObj,Objet Date courant pour le changement de thème par jour
v9490663,dayIndex,Index du jour de la semaine (0-6)
v9509663,dailyThemeNumber,Numéro de thème extrait du tableau des thèmes quotidiens
v9463863,getWeatherIcon,Fonction qui retourne le nom du fichier icône météo selon le code et l'heure
v9476763,weatherCode,Code météo (0-99) selon la classification de l'API Open-Meteo
v9476863,timeMinutes,Heure courante en minutes pour déterminer le jour/nuit
v9503163,iconFileName,Nom du fichier icône météo (ex: i_clearDay.png)
v9476963,currentHourTimestamp,Timestamp de l'heure courante (YYYY-MM-DDTHH:00)
v9435263,temperaturesArray,Tableau des températures horaires du jour
v9463963,weatherCodeValue,Valeur du code météo pour l'heure courante
v9490763,weatherIconName,Nom de l'icône météo (fichier .png)
v9509763,maxTemp,Température maximale du jour
v9509863,minTemp,Température minimale du jour
v9490863,prayerTimestamp,Timestamp de l'heure de prière (YYYY-MM-DDTHH:00)
v9477063,weatherHorizontalElement,Référence à l'élément DOM météo horizontal (HmtALT)
v9477163,weatherVerticalElement,Référence à l'élément DOM météo vertical (VmtALT)
v9503263,prayerWeatherCode,Code météo pour l'heure de prière
v9490963,prayerWeatherIcon,Nom de l'icône météo pour l'heure de prière
v9464063,exportId,Identifiant unique retourné par le serveur pour le fichier d'export
v9450263,exportUrl,URL complète pour télécharger le fichier d'export
v9477463,importErrorMessage,Message d'erreur lors de l'import de fichier (fichier invalide ou non disponible)
